concept_index,entity_id,raw_concept_id,name,definition_source
58,kc58,58,Circle Graph,llm:deepseek-chat
59,kc59,59,Circle Graph,llm:deepseek-chat
60,kc60,60,Surface Area Rectangular Prism,llm:deepseek-chat
61,kc61,61,Volume Cylinder,llm:deepseek-chat
62,kc62,62,Volume Rectangular Prism,llm:deepseek-chat
63,kc63,63,Volume Sphere,llm:deepseek-chat
64,kc64,64,"Order of Operations +,-,/,* () positive reals",llm:deepseek-chat
65,kc65,65,Order of Operations All,llm:deepseek-chat
66,kc66,66,Equation Solving Two or Fewer Steps,llm:deepseek-chat
67,kc67,67,Equation Solving More Than Two Steps,llm:deepseek-chat
68,kc68,68,"Angles - Obtuse, Acute, and Right",llm:deepseek-chat
69,kc69,69,Greatest Common Factor,llm:deepseek-chat
70,kc70,70,Nets of 3D Figures,llm:deepseek-chat
71,kc71,71,Write Linear Equation from Ordered Pairs,llm:deepseek-chat
72,kc72,72,Write Linear Equation from Situation,llm:deepseek-chat
73,kc73,73,Recognize Linear Pattern,llm:deepseek-chat
74,kc74,74,Write Linear Equation from Graph,llm:deepseek-chat
75,kc75,75,75,llm:deepseek-chat
76,kc76,76,Finding Slope From Equation,llm:deepseek-chat
77,kc77,77,77,llm:deepseek-chat
78,kc78,78,Unit Conversion Within a System,llm:deepseek-chat
79,kc79,79,Distributive Property,llm:deepseek-chat
80,kc80,80,Midpoint,llm:deepseek-chat
81,kc81,81,Polynomial Factors,llm:deepseek-chat
82,kc82,82,82,llm:deepseek-chat
83,kc83,83,Unit Conversion Within a System,llm:deepseek-chat
84,kc84,84,Unit Conversion Within a System,llm:deepseek-chat
85,kc85,85,Unit Conversion Within a System,llm:deepseek-chat
86,kc86,86,Solving Systems of Linear Equations,llm:deepseek-chat
87,kc87,87,Quadratic Formula to Solve Quadratic Equation,llm:deepseek-chat
88,kc88,88,Effect of Changing Dimensions of a Shape Prportionally,llm:deepseek-chat
89,kc89,89,"Parts of a Polyomial, Terms, Coefficient, Monomial, Exponent, Variable",llm:deepseek-chat
90,kc90,90,Interpreting Coordinate Graphs,llm:deepseek-chat
91,kc91,91,91,llm:deepseek-chat
92,kc92,92,Solving for a variable,llm:deepseek-chat
93,kc93,93,93,llm:deepseek-chat
94,kc94,94,Solving Systems of Linear Equations by Graphing,llm:deepseek-chat
95,kc95,95,Area Circle,llm:deepseek-chat
96,kc96,96,Histogram as Table or Graph,llm:deepseek-chat
97,kc97,97,Circumference,llm:deepseek-chat
98,kc98,98,Perimeter of a Polygon,llm:deepseek-chat
99,kc99,99,99,llm:deepseek-chat
100,kc100,100,Calculations with Similar Figures,llm:deepseek-chat
101,kc101,101,Calculations with Similar Figures,llm:deepseek-chat
102,kc102,102,Conversion of Fraction Decimals Percents,llm:deepseek-chat
103,kc103,103,Conversion of Fraction Decimals Percents,llm:deepseek-chat
104,kc104,104,Equivalent Fractions,llm:deepseek-chat
105,kc105,105,Equivalent Fractions,llm:deepseek-chat
106,kc106,106,Equivalent Fractions,llm:deepseek-chat
107,kc107,107,Ordering Positive Decimals,llm:deepseek-chat
108,kc108,108,Ordering Positive Decimals,llm:deepseek-chat
109,kc109,109,Ordering Fractions,llm:deepseek-chat
110,kc110,110,Ordering Integers,llm:deepseek-chat
111,kc111,111,Ordering Integers,llm:deepseek-chat
112,kc112,112,Rounding,llm:deepseek-chat
113,kc113,113,Addition Whole Numbers,llm:deepseek-chat
114,kc114,114,Addition Whole Numbers,llm:deepseek-chat
115,kc115,115,115,llm:deepseek-chat
116,kc116,116,Number Line,llm:deepseek-chat
117,kc117,117,Division Fractions,llm:deepseek-chat
118,kc118,118,Estimation,llm:deepseek-chat
119,kc119,119,Estimation,llm:deepseek-chat
120,kc120,120,Least Common Multiple,llm:deepseek-chat
121,kc121,121,Multiplication Fractions,llm:deepseek-chat
122,kc122,122,Percent Of,llm:deepseek-chat
123,kc123,123,Subtraction Whole Numbers,llm:deepseek-chat
124,kc124,124,Subtraction Whole Numbers,llm:deepseek-chat
125,kc125,125,Square Root,llm:deepseek-chat
126,kc126,126,126,llm:deepseek-chat
127,kc127,127,Finding Percents,llm:deepseek-chat
128,kc128,128,Proportion,llm:deepseek-chat
129,kc129,129,Scatter Plot,llm:deepseek-chat
130,kc130,130,Scale Factor,llm:deepseek-chat
131,kc131,131,Unit Rate,llm:deepseek-chat
132,kc132,132,Scientific Notation,llm:deepseek-chat
133,kc133,133,Divisibility Rules,llm:deepseek-chat
134,kc134,134,Prime Number,llm:deepseek-chat
135,kc135,135,Absolute Value,llm:deepseek-chat
136,kc136,136,Exponents,llm:deepseek-chat
137,kc137,137,137,llm:deepseek-chat
138,kc138,138,Pattern Finding,llm:deepseek-chat
139,kc139,139,Pattern Finding,llm:deepseek-chat
140,kc140,140,140,llm:deepseek-chat
141,kc141,141,141,llm:deepseek-chat
142,kc142,142,142,llm:deepseek-chat
143,kc143,143,143,llm:deepseek-chat
144,kc144,144,144,llm:deepseek-chat
145,kc145,145,Stem and Leaf Plot,llm:deepseek-chat
146,kc146,146,Stem and Leaf Plot,llm:deepseek-chat
147,kc147,147,Stem and Leaf Plot,llm:deepseek-chat
148,kc148,148,Stem and Leaf Plot,llm:deepseek-chat
